"","data","hour","min","Tair","RH","wind","winddir","rain","SunJ","season"
"655947",2012-02-03,6,15,-2.6,58,9.35,322,0,0,1
"409935",2005-01-25,3,0,3.2,58,9.35,35,0.6,0,1
"409932",2005-01-25,2,15,4,54,9.35,37,0.6,0,1
"409931",2005-01-25,2,0,4.5,48,9.35,38,0,0,1
"842456",2017-03-08,11,6,14.5,21,9.34,360,0,40434,2
"685540",2012-12-08,18,15,4,53,9.34,360,0,0,1
"409936",2005-01-25,3,15,3.1,56,9.34,35,0,0,1
"797304",2016-02-16,22,0,9.5,67,9.32,360,0,0,1
"789403",2015-11-26,14,45,9.5,44,9.32,360,0,194040,4
"403019",2004-11-14,2,0,10.6,56,9.32,42,8.8,0,4
"763942",2015-03-05,10,45,8.7,34,9.3,360,0,150840,2
"655749",2012-02-01,4,45,0.3,75,9.3,360,0,0,1
"413235",2005-02-28,12,0,2.1,41,9.3,49,0,615600,1
"344966",2017-04-18,14,0,12.2,63,9.3,8,0,134100,2
"883880",2017-04-18,15,0,9.7,64,9.29,360,0.2,61380,2
"836792",2017-03-04,12,42,13.1,66,9.29,123,0,3822,2
"403032",2004-11-14,5,15,10.3,48,9.29,42,2.8,0,4
